ID,annotator_1,error_1,pers_1,annotator_2,error_2,pers_2,annotator_3,error_3,pers_3
ALG_01_deepseek-r1_70b_1,0,,,0,,,0,,
ALG_01_deepseek-r1_70b_2,1,,,1,,,1,,
ALG_01_deepseek-r1_70b_3,2,conceptual,4,2,conceptual,5,2,conceptual,4
ALG_01_gemma4_31b_1,0,,,0,,,0,,
ALG_01_gemma4_31b_2,1,,,1,,,1,,
ALG_01_gemma4_31b_3,2,conceptual,4,2,conceptual,5,2,conceptual,3
ALG_01_llama3.3_70b_1,0,,,0,,,0,,
ALG_01_llama3.3_70b_2,1,,,1,,,1,,
ALG_01_llama3.3_70b_3,2,conceptual,5,2,conceptual,5,2,conceptual,3
ALG_01_llama4_16x17b_1,0,,,0,,,0,,
ALG_01_llama4_16x17b_2,1,,,1,,,1,,
ALG_01_llama4_16x17b_3,2,conceptual,3,2,conceptual,4,2,conceptual,3
ALG_01_ministral-3_14b_1,0,,,0,,,0,,
ALG_01_ministral-3_14b_2,1,,,1,,,1,,
ALG_01_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
ALG_01_mistral_7b_1,2,conceptual,3,2,conceptual,3,0,,
ALG_01_mistral_7b_2,1,,,1,,,1,,
ALG_01_mistral_7b_3,0,,,0,,,2,factual,2
ALG_01_qwen3_235b_1,0,,,0,,,0,,
ALG_01_qwen3_235b_2,1,,,1,,,1,,
ALG_01_qwen3_235b_3,2,conceptual,5,2,logical,5,2,conceptual,5
ALG_02_deepseek-r1_70b_1,0,,,0,,,0,,
ALG_02_deepseek-r1_70b_2,1,,,1,,,1,,
ALG_02_deepseek-r1_70b_3,2,factual,4,2,conceptual,5,2,factual,4
ALG_02_gemma4_31b_1,0,,,0,,,0,,
ALG_02_gemma4_31b_2,1,,,1,,,1,,
ALG_02_gemma4_31b_3,2,factual,5,2,factual,5,2,factual,3
ALG_02_llama3.3_70b_1,0,,,0,,,0,,
ALG_02_llama3.3_70b_2,1,,,1,,,1,,
ALG_02_llama3.3_70b_3,2,factual,5,2,conceptual,5,2,conceptual,4
ALG_02_llama4_16x17b_1,0,,,0,,,0,,
ALG_02_llama4_16x17b_2,1,,,1,,,1,,
ALG_02_llama4_16x17b_3,2,factual,3,2,conceptual,4,2,factual,3
ALG_02_ministral-3_14b_1,0,,,0,,,0,,
ALG_02_ministral-3_14b_2,1,,,1,,,1,,
