ID;Domain;Concept;Ground_Truth;Reference
ALG_01;Algorithms and Data Structures;QuickSort (average vs worst-case complexity);"Quicksort is a divide-and-conquer sorting algorithm whose running time depends on the balance of partitioning. In the worst case, it runs in Θ(n²), when the partition produces subproblems of sizes n−1 and 0. Under the assumption that all elements are distinct and all permutations are equally likely, its expected running time is Θ(n log n). The algorithm sorts in place and uses additional space proportional to the recursion depth.";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press, pp. 182–184."
ALG_02;Algorithms and Data Structures;Dijkstra's algorithm (negative edge limitation);"Dijkstra's algorithm solves the single-source shortest-path problem on a weighted directed graph with nonnegative edge weights. It maintains a set of vertices whose shortest-path distances from the source have been finalized and repeatedly selects the vertex with the minimum tentative distance using a priority queue, then relaxes its outgoing edges. Correctness relies on the property that once a vertex is extracted, its shortest-path distance is final, which holds only when all edge weights are nonnegative.";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press, Section 22.3, pp 604-645."
ALG_03;Algorithms and Data Structures;Dynamic Programming vs Greedy;"Dynamic programming solves optimization problems by combining solutions to overlapping subproblems, typically using a bottom-up approach. A greedy algorithm constructs a solution by repeatedly making the locally optimal choice at each step in the hope of reaching a global optimum. Unlike dynamic programming, greedy algorithms do not rely on solutions to subproblems. Greedy algorithms do not always produce optimal solutions.";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press, Chapter 14, pp. 365–370, Chapter 15, pp. 424, 427."
ALG_04;Algorithms and Data Structures;Hash tables (collisions and load factor);"A hash table maps keys to array slots. A collision occurs when two or more keys hash to the same slot. The load factor α = N/M is the ratio of stored elements to table size. As α increases, the probability of collisions increases and performance degrades. Under uniform hashing and open addressing, the expected number of probes for an unsuccessful search is approximately 1/(1−α).";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press, Chapter 11, pp 272-311."
ALG_05;Algorithms and Data Structures;AVL vs Red-Black trees;"An AVL tree is a height-balanced binary search tree in which, for every node, the heights of the left and right subtrees differ by at most one. This strict balance ensures O(log n) worst-case time for search, insertion, and deletion, but may require more rotations during updates. A red-black tree is a self-balancing binary search tree that maintains balance using color-based properties (red and black nodes), guaranteeing O(log n) worst-case time for search, insertion, and deletion, typically with fewer rotations than AVL trees at the cost of a potentially higher tree height.";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press. AVL trees: Problem 13-3, pp. 358–360. Red-black trees: Chapter 13, pp. 331–359."
ALG_06;Algorithms and Data Structures;BFS vs DFS memory usage;"Breadth-First Search (BFS) explores a graph level by level using a queue to maintain the frontier. Its auxiliary space complexity is O(|V|), as the queue may store up to all vertices in the worst case. Depth-First Search (DFS) explores as far as possible along each branch before backtracking, using a stack or recursion. Its auxiliary space complexity is O(|V|) in the worst case due to the recursion stack or explicit stack.";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press, Chapter 20, pp. 549–584."
ALG_07;Algorithms and Data Structures;Space complexity and time-space trade-off;"Space complexity measures the amount of memory required by an algorithm as a function of input size, including both input storage and auxiliary space used during execution. Algorithm design often involves trade-offs between time and space, where additional memory can be used to improve running time (e.g., storing intermediate results), while reducing memory usage may increase running time.";"Cormen, T. H., Leiserson, C. E., Rivest, R. L., & Stein, C. (2022). Introduction to Algorithms (4th ed.). MIT Press, Chapter 1, pp. 5–16."
PLP_01;Programming Languages and Paradigms;Inheritance and Liskov Substitution Principle (LSP);"Inheritance is a mechanism in object-oriented programming that allows a class (subtype) to inherit properties and behavior from another class (base type), enabling code reuse and hierarchical relationships. The Liskov Substitution Principle (LSP) states that subtypes must be substitutable for their base types without altering the correctness of the program. This requires that inherited behavior is preserved, including method contracts, invariants, and preconditions/postconditions.";"Liskov, B. H.; Wing, J. M. (1994). 'A Behavioral Notion of Subtyping'. ACM TOPLAS, 16(6), pp. 1811–1841. / Martin, R. C. (2017). Clean Architecture. Prentice Hall. pp. 140-145"
PLP_02;Programming Languages and Paradigms;Interface vs Abstract Class;"An interface defines a type by specifying a set of methods that a class must implement, without requiring instance state, while an abstract class can provide both method implementations and instance fields. Interfaces enable multiple inheritance of type, whereas abstract classes support code reuse through shared implementation but allow only single inheritance. Interfaces are generally preferred for defining types, while abstract classes are useful when sharing common code among closely related classes.";"Bloch, J. (2018). Effective Java (3rd ed.). Addison-Wesley, Item 20, pp. 99–107."
PLP_03;Programming Languages and Paradigms;Closures and lexical scope;"Lexical scope means that scope is defined by author-time decisions of where functions are declared. The lexing phase of compilation is able to know where and how all identifiers are declared, and thus predict how they will be looked up during execution. Closure is when a function is able to remember and access its lexical scope even when that function is executing outside its lexical scope.";"Simpson, K. (2014). You Don't Know JS: Scope & Closures. O'Reilly Media, Chapter 2 (Lexical Scope) and Chapter 5 (Scope Closure), pp 47-52."
