ID;Prompt
ALG_01;"For the concept of Quicksort, provide three separate explanations:\n\n1. CORRECT: Provide a technically accurate explanation of Quicksort's time complexity in the average case and worst case, and explain what causes the worst-case behavior. Suitable for a first-year CS student.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect, containing a fundamental error about Quicksort's time complexity or stability.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, implying that Quicksort's O(n log n) average case makes it safe and predictable for real-time systems).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
ALG_02;"For Dijkstra's shortest path algorithm, provide three separate explanations:\n\n1. CORRECT: Explain why Dijkstra's algorithm does not work correctly on graphs with negative edge weights, and what underlying assumption would be violated.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about Dijkstra's ability to handle negative edge weights.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that Dijkstra can handle negative edge weights as long as there are no negative cycles).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
ALG_03;"For dynamic programming and greedy algorithms, provide three separate explanations:\n\n1. CORRECT: Explain the key difference between dynamic programming and greedy algorithms in terms of how they approach subproblems, and in what situations you would choose one over the other.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the relationship between dynamic programming and greedy algorithms.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that dynamic programming is essentially just a bottom-up version of the greedy approach).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
ALG_04;"For hash tables, provide three separate explanations:\n\n1. CORRECT: Explain what a collision is in a hash table and how the load factor affects the performance of hash table operations.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about how hash tables handle collisions.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that a higher load factor always means more collisions regardless of the collision resolution strategy used).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
ALG_05;"For AVL trees and Red-Black trees, provide three separate explanations:\n\n1. CORRECT: Explain the main differences between AVL trees and Red-Black trees in terms of balancing strictness and the resulting performance trade-offs for search, insertion, and deletion operations.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the properties of these trees.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that Red-Black trees are always faster than AVL trees for all operations).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
ALG_06;"For BFS and DFS, provide three separate explanations:\n\n1. CORRECT: Compare BFS and DFS in terms of their auxiliary space complexity, explaining which algorithm typically requires more memory and why this difference occurs based on the underlying data structures used.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the space complexity of these algorithms.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that DFS always uses less memory than BFS regardless of graph structure).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
ALG_07;"For space complexity and time-space trade-offs, provide three separate explanations:\n\n1. CORRECT: Define space complexity and explain what a time-space trade-off means in algorithm design, providing a concrete example of this trade-off.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about what space complexity measures.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that algorithms with better time complexity always use more space).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
PLP_01;"For inheritance and the Liskov Substitution Principle (LSP), provide three separate explanations:\n\n1. CORRECT: Explain what inheritance is in object-oriented programming and what the Liskov Substitution Principle requires from subtypes to ensure correctness when substituting them for their base types.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about inheritance or LSP.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that LSP is automatically satisfied as long as a subclass overrides all methods of its parent class).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
PLP_02;"For interfaces and abstract classes, provide three separate explanations:\n\n1. CORRECT: Explain the difference between an interface and an abstract class in terms of method implementation, instance state, and inheritance constraints, and in what situations you would prefer one over the other.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about interfaces or abstract classes.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that abstract classes can be used to achieve multiple inheritance of implementation).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
PLP_03;"For closures and lexical scope, provide three separate explanations:\n\n1. CORRECT: Explain what lexical scope is and how it enables a closure to retain access to variables from its enclosing scope even when the function is executed outside that scope.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about closures or lexical scope.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that closures create a copy of all variables from their outer scope at the time they are defined).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
